Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provinc1028453ia;Location (latitude);Location (longitude);Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data;Source CO2 emissions;CO2 factor [tCO2/tproduct];Generated energy [MWh] 2021;Quantity of fuel;Feedstock;Fuels;Source
;Acindar Industria Argentina de Aceros S.A.;Steel;;Industrial point source;Villa Mercedes;San Luis;-33.72087734;-65.46444205;Billets. rolled non-flat products ;;;;;;;;;;;;
Planta Siderurgica ACERBRAG;Acerbrag S.A. (grupo brasileño Votorantim);Steel;;Industrial point source;Bragado;Buenos Aires;-35.13711789;-60.4520892;Rolled non-flat products ;250000;;;Electric Arc Furnace (EAF);;;;;;;;
Aceros Zapla;Aceros Zapla S.A.;Steel;;Industrial point source;Palpalá;Jujuy;-24.2460988;-65.19816083;Billets. rolled non-flat products ;80000;;;Electric Arc Furnace (EAF);;;;;;;;http://www.aceroszapla.com.ar/empresa.php
Planta siderúrgica Gerdau Sipar Pérez;Gerdau SA;Steel;103031;Industrial point source;Pérez;Santa Fe;-32.9912336;-60.7588733;Rolled non-flat products ;650000;;0.207692308;Electric Arc Furnace (EAF);2021;https://climatetrace.org/map/argentina-manufacturing-co2;0.17746;;;;;https://www.gem.wiki/Planta_sider%C3%BArgica_Gerdau_Sipar_P%C3%A9rez
ALUAR SA - GENERADOR;Aluar;Thermal power plant;210445;Industrial point source;Puerto Madryn;Chubut;-42.7438848;-65.04839927;Electrical energy;189;;;;2021;CAMMESA;1.94819592;409248;108020.575;;;
ARCOR MARIO SEVESO ARROYITO;;Thermal power plant;93267;Industrial point source;;Córdoba;-31.42055514;-63.03885915;;;;;;2021;CAMMESA;1.94819592;130861;47873.521;;;
C. TERMICAS MENDOZA PLUS;;Thermal power plant;788702;Industrial point source;;Mendoza;-33.02787784;-68.89874272;;288.466;;;;2021;CAMMESA;1.94819592;2013663;404837.29;;;
C. TERMICAS MENDOZA SA;;Thermal power plant;297745;Industrial point source;;Mendoza;;;;203.77;;;;2021;CAMMESA;2.095930315;392428;145156.574;;;
C.COSTA ATLANTICA;;Thermal power plant;509899;Industrial point source;;Buenos Aires;-36.30875528;-56.63689546;;455.88;;;;2021;CAMMESA;2.347655665;565045;212680.081;;;
C.T. AES PARANA;;Thermal power plant;1717893;Industrial point source;;Buenos Aires;-32.97092569;-60.1538909;;869.51;;;;2021;CAMMESA;2.240478703;4138259;825465.086;;;
C.T. AGUA DEL CAJON;;Thermal power plant;1108638;Industrial point source;Neuquén;Neuquén;-38.93531878;-68.35746075;Electrical energy;184.4;;;;2021;CAMMESA;1.94819592;2355486;569058.692;;;
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Thermal power plant;7094;Industrial point source;Burazco;Buenos Aires;-34.83766034;-58.40568505;Electrical energy;25;;;;2021;CAMMESA;2.697170552;9498;2629.985;;;
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Thermal power plant;1779653;Industrial point source;Neuquén;Neuquén;-38.51178974;-68.60637825;Electrical energy;675;;;;2021;CAMMESA;1.94819592;4189027;913487.854;;;
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Thermal power plant;27712;Industrial point source;Comodoro Rivadavia;Chubut;-45.81390612;-67.44427712;Electrical energy;160;;;;2021;CAMMESA;1.94819592;29015;14224.528;;;
C.T. SALTA (TERMOANDES);AES;Thermal power plant;1004183;Industrial point source;Cobos;Salta;-24.74271171;-65.05151496;Electrical energy;642.7;;;;2021;CAMMESA;1.94819592;2667147;515442.405;;;
C.TERMICA ALTO VALLE;;Thermal power plant;198282;Industrial point source;Neuquén;Neuquén;-38.95161594;-68.02174487;Electrical energy;96;;;;2021;CAMMESA;1.94819592;344762;101777.385;;;
C.TERMICA GUEMES S.A.;;Thermal power plant;139062;Industrial point source;;Salta;-24.75718674;-65.34767737;;261;;;;2021;CAMMESA;1.94819592;230635;71379.909;;;
C.TERMICA SAN NICOLAS;AES;Thermal power plant;2158549;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.35809074;-60.17476179;Electrical energy;675;;;;2021;CAMMESA;2.382121966;1822963;918096.312;;;
C.TERMICA SORRENTO;;Thermal power plant;20821;Industrial point source;;Santa Fe;-32.90624373;-60.68192663;;217;;;;2021;CAMMESA;2.356224249;22522;6898.553;;;
CAPEX S.A. AUTOGENERADOR;;Thermal power plant;1075683;Industrial point source;;Neuquén;-38.93576108;-68.35797573;;477.1;;;;2021;CAMMESA;1.94819592;2218394;552143.314;;;
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Thermal power plant;478;Industrial point source;Ensenada;Buenos Aires;-34.88987358;-57.93335436;Electrical energy;55;;;;2021;CAMMESA;1.94819592;462;245.576;;;
CENTRAL DOCK SUD;Central Dock Sud;Thermal power plant;2101890;Industrial point source;Dock Sud;Buenos Aires;-34.65327861;-58.34352059;Electrical energy;869.5;;;;2021;CAMMESA;2.114634727;5377675;1055251.429;;;
CENTRAL PIEDRA BUENA S.A.;Pampa Energía;Thermal power plant;243763;Industrial point source;Ingeniero White;Buenos Aires;-38.78482523;-62.25607271;Electrical energy;;;;;2021;CAMMESA;2.40722779;311536;88615.26;;natural gas or fuel oil;
CENTRAL PUERTO SA;Central Puerto S.A.;Thermal power plant;3481800;Industrial point source;Luján de Cuyo;Mendoza;-33.05433167;-68.98071723;Electrical energy;1777;;;;2021;CAMMESA;2.41650066;6562913;1458106.405;;;
CENTRAL TÉRMICA LOMITA AUTOG.;;Thermal power plant;59300;Industrial point source;;Neuquén;;;;;;;;2021;CAMMESA;1.94819592;152400;30438.172;;;
CENTRAL TERMICA PIQUIRENDA;Pampa Energía;Thermal power plant;25963;Industrial point source;Piquirenda;Salta;-22.35004604;-63.76700533;Electrical energy;30.4;;;;2021;CAMMESA;1.94819592;52730;13326.478;;natural gas;
COOP. MNO. MORENO BS. AS.GENER;;Thermal power plant;668;Industrial point source;;Buenos Aires;;;;7;;;;2021;CAMMESA;2.697170552;888;247.837;;;
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlántica S.A.;Thermal power plant;221258;Industrial point source;Mar del Plata;Buenos Aires;-38.04949391;-57.54553583;Electrical energy;94.74;;;;2021;CAMMESA;2.247785773;369325;105531.342;;;
CT ACONCAGUA ENERGÍA AUTOGENER;;Thermal power plant;17;Industrial point source;;Mendoza;;;;;;;;2021;CAMMESA;1.94819592;23;8.875;;;
CT ALEM - AGGREKO;;Thermal power plant;35577;Industrial point source;;Misiones;-27.55844357;-55.28616792;;15;;;;2021;CAMMESA;2.697170552;50020;13190.632;;;
CT ANCHORIS - METHAX;EMESA;Thermal power plant;50825;Industrial point source;Tupungato;Mendoza;-33.3133564;-68.89151146;Electrical energy;40;;;;2021;CAMMESA;1.94819592;110121;26088.109;;natural gas;
CT AÑATUYA - SULLAIR;;Thermal power plant;11557;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;Electrical energy;19.2;;;;2021;CAMMESA;2.697170552;16691;4284.71;;;
CT AÑATUYA II - SULLAIR;;Thermal power plant;4840;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;Electrical energy;11.5;;;;2021;CAMMESA;2.697170552;6736;1794.494;;;
CT ARISTOBU.DEL VALLE-SOENERGY;;Thermal power plant;24495;Industrial point source;Aristóbulo del Valle;Misiones;-27.09123769;-54.86344241;Electrical energy;15;;;;2021;CAMMESA;2.697170552;34282;9081.826;;;
CT ARRECIFES-AGGREKO;;Thermal power plant;8081;Industrial point source;;Buenos Aires;;;;20;;;;2021;CAMMESA;2.697170552;10529;2996.103;;;
CT BANDERA SgoEstero - ENARSA;;Thermal power plant;4539;Industrial point source;;Santiago del Estero;-27.79292098;-62.15515275;;32.5;;;;2021;CAMMESA;2.697170552;5626;1682.715;;;
CT BARILOCHE;;Thermal power plant;1392;Industrial point source;;Río Negro;-41.0854318;-71.35591366;;20;;;;2021;CAMMESA;2.697170552;2004;516.246;;;
CT BARKER CIERRE CC;;Thermal power plant;636102;Industrial point source;Benito Juárez;Buenos Aires;-37.54858826;-59.4506657;Electrical energy;105.85;;;;2021;CAMMESA;2.230277275;1499099;308184.079;;;
CT BARRAGAN - ENARSA;ENARSA;Thermal power plant;319657;Industrial point source;Ensenada;Buenos Aires;-34.85965751;-57.95577403;Electrical energy;567;;;;2021;CAMMESA;2.266510139;545648;153089.016;;;
CT BARRANQUERAS Chaco;;Thermal power plant;3373;Industrial point source;;Chaco;-27.48591444;-58.93260519;;21.7;;;;2021;CAMMESA;2.697170552;4679;1250.604;;;
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Thermal power plant;6459;Industrial point source;Bell Ville;Córdoba;-32.61039562;-62.68583225;Electrical energy;15.6;;;;2021;CAMMESA;2.697170552;9090;2394.785;;;
CT BRACHO CIERRE CC- Y-GEN S.A;;Thermal power plant;1242878;Industrial point source;;Tucumán;-26.99529044;-65.17017867;;199;;;;2021;CAMMESA;1.94819592;3385914;637963.717;;;
CT BRAGADO - EMGASUD;;Thermal power plant;7559;Industrial point source;;Buenos Aires;-34.81288221;-60.40005;;;;;;2021;CAMMESA;2.135439578;12869;3834.912;;;
CT BRAGADO 2 - GENNEIA;Genneia;Thermal power plant;79138;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;Electrical energy;58.5;;;;2021;CAMMESA;2.251834284;128764;38958.039;;;
CT BRAGADO 3 - GENNEIA;Genneia;Thermal power plant;92453;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;Electrical energy;61.2;;;;2021;CAMMESA;2.220550332;147631;44387.277;;;
