Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude)
CT SANTA ROSA -TURBODISEL;;Thermal power plant;1988.00;Industrial point source;;Corrientes;-28.26247793;-58.12262641
CT TEREVINTOS - SECCO;;Thermal power plant;2652.00;Industrial point source;;Catamarca;-28.42876224;-65.78746942
CT TINOGASTA - SULLAIR;;Thermal power plant;4169.00;Industrial point source;;Catamarca;-28.04904452;-67.56608993
CT VENADO TUERTO - SECCO;;Thermal power plant;7617.00;Industrial point source;;Santa Fe;-33.75246685;-61.99327364
CT VIALE - AGGREKO;;Thermal power plant;4529.00;Industrial point source;;Entre Ríos;-31.89194;-60.01056
CT VILLA ANGELA - AGGREKO;;Thermal power plant;4977.00;Industrial point source;;Chaco;-27.60214589;-60.74649601
CT VILLA GESELL-CATLANT.;;Thermal power plant;333196.00;Industrial point source;;Buenos Aires;-37.24848426;-56.99724588
CT VILLA MARIA CIERRE CC-UENSA;;Thermal power plant;630749.00;Industrial point source;;Córdoba;-32.42693676;-63.17188574
CT VILLA OCAMPO - SECCO;;Thermal power plant;32945.00;Industrial point source;;Santa Fe;-28.51609309;-59.34577171
CT VUELTA DE OBLIGADO;;Thermal power plant;1829953.00;Industrial point source;;Santa Fe;-32.48882628;-60.79097087
CT ZAPPALORTO - APR ENERGY;;Thermal power plant;15249.00;Industrial point source;;Buenos Aires;-34.71869221;-58.73797554
EDECAT GENERACION;;Thermal power plant;397.00;Industrial point source;;Catamarca;-28.19232818;-65.11339956
EDELAR GENERACION;;Thermal power plant;18733.00;Industrial point source;;La Rioja;;
EDEN GENERACION;;Thermal power plant;1627.00;Industrial point source;;Buenos Aires;-34.05179982;-58.92965791
ELECTROPATAGONIA-C.RIV-C.COMB.;;Thermal power plant;15137.00;Industrial point source;;Chubut;-45.79136316;-67.52324552
EMP.DIS.S.ESTERO GENERACION;;Thermal power plant;4901.00;Industrial point source;;Santiago del Estero;;
EMSA GENERACION;;Thermal power plant;10472.00;Industrial point source;;Misiones;;
ENDESA COSTANERA SA;;Thermal power plant;2518331.00;Industrial point source;;Buenos Aires;-34.62334842;-58.34179385
ENERGIA DEL SUR S.A.;;Thermal power plant;226761.00;Industrial point source;;Chubut;-45.79337549;-67.51392216
EPEC GENERACION;;Thermal power plant;15814.00;Industrial point source;;Córdoba;;
GEN.MEDITERRANEA (CONT.PLUS);;Thermal power plant;36744.00;Industrial point source;;Córdoba;-33.15913174;-64.36424725
GEN.MEDITERRANEA GRUPO 5;;Thermal power plant;27675.00;Industrial point source;;Córdoba;-33.15913174;-64.36424725
GENELBA - PETROBRAS;;Thermal power plant;1898589.00;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676
GENELBA - RES.287;;Thermal power plant;1396334.00;Industrial point source;;Buenos Aires;-34.9038311;-58.73254676
GENERACION FRIAS S.A.;;Thermal power plant;15755.00;Industrial point source;;Santiago del Estero;-28.56386859;-65.12249001
GENERACION INDEPENDENCIA S.A.;;Thermal power plant;28961.00;Industrial point source;;Tucumán;-26.86672994;-65.22196012
GENERACION LA BANDA S.A.;;Thermal power plant;2514.00;Industrial point source;;Santiago del Estero;-27.7529612;-64.26512026
GENERACION MEDITERRANEA;;Thermal power plant;6470.00;Industrial point source;;Córdoba;-32.94821426;-64.37649144
GENERACION MEDITERRANEA 220;;Thermal power plant;31381.00;Industrial point source;;Córdoba;-32.94821426;-64.37649144
GENERACION RIOJANA SA;;Thermal power plant;13132.00;Industrial point source;;La Rioja;-29.38221469;-66.83430162
GENERADORA Córdoba S.A.;;Thermal power plant;1537.00;Industrial point source;;Córdoba;-32.13195934;-64.15615033
GENERADORA ELEC.Tucumán SA;;Thermal power plant;9198.00;Industrial point source;;Tucumán;-26.99427143;-65.16588094
HIDROTERMICA SAN JUAN;;Thermal power plant;6068.00;Industrial point source;;San Juan;-31.51232265;-68.53794739
LA PLATA COGENERACION SA;;Thermal power plant;339665.00;Industrial point source;;Buenos Aires;-34.88934876;-57.92261647
LEDESMA SAAI;;Thermal power plant;7544.00;Industrial point source;;Jujuy;-23.82178298;-64.78451309
LUJAN DE CUYO COGENERAC.PUERTO;;Thermal power plant;265976.00;Industrial point source;;Mendoza;-33.05228875;-68.97986675
MOLINOS AGRO AG.(Ex.Mol Rio P);;Thermal power plant;222.00;Industrial point source;;Santa Fe;;
MOTOGENERADORES COSTANERA;;Thermal power plant;47985.00;Industrial point source;;Buenos Aires;-34.62294757;-58.34179446
NIDERA SAFORCADA-Junin;;Thermal power plant;20.00;Industrial point source;;Buenos Aires;-34.58607819;-34.58607819
PAMPA ENERGIA SA;;Thermal power plant;78724.00;Industrial point source;;Salta;-24.68842844;-65.04387511
REFINERIA LA PLATA AUTOG;;Thermal power plant;10998.00;Industrial point source;;Buenos Aires;-34.88980716;-57.92284166
SHELL CAPSA PTA. DOCK SUD;;Thermal power plant;25501.00;Industrial point source;;Buenos Aires;-34.65330519;-58.34357618
