Name;Company;Industry;CO2_emissions_t;Source_CO2_emissions;Source;City;Province;Latitude;Longitude
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Thermal power plant;1779653.00;Industrial point source;Electrical energy;Neuquén;Neuquén;-38.51178974;-68.60637825
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Thermal power plant;27712.00;Industrial point source;Electrical energy;Comodoro Rivadavia;Chubut;-45.81390612;-67.44427712
C.T. SALTA (TERMOANDES);AES;Thermal power plant;1004183.00;Industrial point source;Electrical energy;Cobos;Salta;-24.74271171;-65.05151496
C.TERMICA ALTO VALLE;;Thermal power plant;198282.00;Industrial point source;Electrical energy;Neuquén;Neuquén;-38.95161594;-68.02174487
C.TERMICA GUEMES S.A.;;Thermal power plant;139062.00;Industrial point source;;;Salta;;
C.TERMICA SAN NICOLAS;AES;Thermal power plant;2158549.00;Industrial point source;Electrical energy;San Nicolás de Los Arroyos;Buenos Aires;-33.35809074;-60.17476179
C.TERMICA SORRENTO;;Thermal power plant;20821.00;Industrial point source;;;Santa Fe;;
CAPEX S.A. AUTOGENERADOR;;Thermal power plant;1075683.00;Industrial point source;;;Neuquén;;
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Thermal power plant;478.00;Industrial point source;Electrical energy;Ensenada;Buenos Aires;-34.88987358;-57.93335436
CENTRAL DOCK SUD;Central Dock Sud;Thermal power plant;2101890.00;Industrial point source;Electrical energy;Dock Sud;Buenos Aires;-34.65327861;-58.34352059
CENTRAL PIEDRA BUENA S.A.;Pampa Energía;Thermal power plant;243763.00;Industrial point source;Electrical energy;Ingeniero White;Buenos Aires;-38.78482523;-62.25607271
CENTRAL PUERTO SA;Central Puerto S.A.;Thermal power plant;3481800.00;Industrial point source;Electrical energy;Luján de Cuyo;Mendoza;-33.05433167;-68.98071723
CENTRAL TÉRMICA LOMITA AUTOG.;;Thermal power plant;59300.00;Industrial point source;;;Neuquén;;
CENTRAL TERMICA PIQUIRENDA;Pampa Energía;Thermal power plant;25963.00;Industrial point source;Electrical energy;Piquirenda;Salta;-22.35004604;-63.76700533
COOP. MNO. MORENO BS. AS.GENER;;Thermal power plant;668.00;Industrial point source;;;Buenos Aires;;
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlántica S.A.;Thermal power plant;221258.00;Industrial point source;Electrical energy;Mar del Plata;Buenos Aires;-38.04949391;-57.54553583
CT ACONCAGUA ENERGÍA AUTOGENER;;Thermal power plant;17.00;Industrial point source;;;Mendoza;;
CT ALEM - AGGREKO;;Thermal power plant;35577.00;Industrial point source;;;Misiones;;
CT ANCHORIS - METHAX;EMESA;Thermal power plant;50825.00;Industrial point source;Electrical energy;Tupungato;Mendoza;-33.3133564;-68.89151146
CT AÑATUYA - SULLAIR;;Thermal power plant;11557.00;Industrial point source;Electrical energy;Añatuya;Santiago del Estero;-28.44584131;-62.85560319
CT AÑATUYA II - SULLAIR;;Thermal power plant;4840.00;Industrial point source;Electrical energy;Añatuya;Santiago del Estero;-28.44584131;-62.85560319
CT ARISTOBU.DEL VALLE-SOENERGY;;Thermal power plant;24495.00;Industrial point source;Electrical energy;Aristóbulo del Valle;Misiones;-27.09123769;-54.86344241
CT ARRECIFES-AGGREKO;;Thermal power plant;8081.00;Industrial point source;;;Buenos Aires;;
CT BANDERA SgoEstero - ENARSA;;Thermal power plant;4539.00;Industrial point source;;;Santiago del Estero;;
CT BARILOCHE;;Thermal power plant;1392.00;Industrial point source;;;Río Negro;;
CT BARKER CIERRE CC;;Thermal power plant;636102.00;Industrial point source;Electrical energy;Benito Juárez;Buenos Aires;-37.54858826;-59.4506657
CT BARRAGAN - ENARSA;ENARSA;Thermal power plant;319657.00;Industrial point source;Electrical energy;Ensenada;Buenos Aires;-34.85965751;-57.95577403
CT BARRANQUERAS Chaco;;Thermal power plant;3373.00;Industrial point source;;;Chaco;;
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Thermal power plant;6459.00;Industrial point source;Electrical energy;Bell Ville;Córdoba;-32.61039562;-62.68583225
CT BRACHO CIERRE CC- Y-GEN S.A;;Thermal power plant;1242878.00;Industrial point source;;;Tucumán;;
CT BRAGADO - EMGASUD;;Thermal power plant;7559.00;Industrial point source;;;Buenos Aires;;
CT BRAGADO 2 - GENNEIA;Genneia;Thermal power plant;79138.00;Industrial point source;Electrical energy;Bragado;Buenos Aires;-35.13651396;-60.43241426
CT BRAGADO 3 - GENNEIA;Genneia;Thermal power plant;92453.00;Industrial point source;Electrical energy;Bragado;Buenos Aires;-35.13651396;-60.43241426
CT BRIGADIER LOPEZ;Central Puerto S.A.;Thermal power plant;64572.00;Industrial point source;Electrical energy;Santa Fe;Santa Fe;-31.71284154;-60.77930021
CT CAIMANCITO -SULLAIR;;Thermal power plant;62571.00;Industrial point source;Electrical energy;Libertador Gral San Martín;Jujuy;-23.73226891;-64.61399317
CT CAÑADA DE GOMEZ - SECCO;Secco;Thermal power plant;105744.00;Industrial point source;Electrical energy;Cañada de Gómez;Santa Fe;-32.78187222;-61.41843352
CT CAPITAN SARMIENTO - SECCO;Secco;Thermal power plant;10205.00;Industrial point source;;;Buenos Aires;;
CT CASTELLI - AGGREKO;;Thermal power plant;9440.00;Industrial point source;;;Chaco;;
CT CATAMARCA - SECCO;;Thermal power plant;10013.00;Industrial point source;;;Catamarca;;
CT CERES - SECCO;;Thermal power plant;3924.00;Industrial point source;;;Santa Fe;;
CT CHARATA - SULLAIR;;Thermal power plant;7334.00;Industrial point source;;;Chaco;;
CT CHILECITO - SECCO;Secco;Thermal power plant;4810.00;Industrial point source;Electrical energy;Chilecito;La Rioja;-29.15733701;-67.50746666
CT CIPOLLETI - AGGREKO;;Thermal power plant;501.00;Industrial point source;;;Río Negro;;
CT COLON BS.AS - SULLAIR;;Thermal power plant;5222.00;Industrial point source;Electrical energy;Colón;Buenos Aires;-33.73201213;-61.09709894
CT CORRIENTES - AGGREKO;;Thermal power plant;7204.00;Industrial point source;;;Corrientes;;
CT EZEIZA ETAPA1 G MEDITERRANE;;Thermal power plant;56618.00;Industrial point source;Electrical energy;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333
CT EZEIZA ETAPA2 G MEDITERRANE;;Thermal power plant;32456.00;Industrial point source;Electrical energy;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333
CT FORMOSA - APR ENERGY;;Thermal power plant;5006.00;Industrial point source;;;Formosa;;
CT GENERAL ROJO CIERRE CC;;Thermal power plant;619957.00;Industrial point source;Electrical energy;San Nicolás de Los Arroyos;Buenos Aires;-33.45541478;-60.28090222
CT GOYA - SECCO;;Thermal power plant;4754.00;Industrial point source;Electrical energy;Goya;Corrientes;-29.15821641;-59.27345715
CT GRAL. VILLEGAS - AGGREKO;;Thermal power plant;14209.00;Industrial point source;;;Buenos Aires;;
CT INDEPEND. ETAPA1 G MEDITERR;Grupo Albanesi;Thermal power plant;10088.00;Industrial point source;Electrical energy;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861
CT INDEPEND. ETAPA2 G MEDITERR;Grupo Albanesi;Thermal power plant;9463.00;Industrial point source;Electrical energy;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861
CT ING JUAREZ - SECCO;;Thermal power plant;2692.00;Industrial point source;Electrical energy;Ingeniero Juárez;Formosa;-23.90901687;-61.83150245
CT INTA CATAMARCA - SECCO;;Thermal power plant;3559.00;Industrial point source;;;Catamarca;;
CT ISLA VERDE - AGGREKO;;Thermal power plant;7670.00;Industrial point source;;;Córdoba;;
CT ITATI - TURBODISEL;;Thermal power plant;1498.00;Industrial point source;;;Corrientes;;
CT JUNIN;;Thermal power plant;14479.00;Industrial point source;;;Buenos Aires;;
CT LA PAZ Entre Rios - ENARSA;;Thermal power plant;2674.00;Industrial point source;;;Entre Ríos;;
CT LA PLATA - SULLAIR;;Thermal power plant;14048.00;Industrial point source;Electrical energy;San Carlos;Buenos Aires;-34.9338664;-58.01640058
CT LA RIOJA - SECCO;;Thermal power plant;7688.00;Industrial point source;;;La Rioja;;
CT LA RIOJA SUR- SECCO;;Thermal power plant;3506.00;Industrial point source;;;La Rioja;;
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457.00;Industrial point source;Electrical energy;Laguna Blanca;Formosa;-25.12695055;-58.25915073
CT LAS ARMAS II - EMGASUD;;Thermal power plant;606.00;Industrial point source;;;#NV;;
CT LAS PALMAS 2 - ARAUCARIA;;Thermal power plant;100667.00;Industrial point source;;;Buenos Aires;;
CT LAS PALMAS -TURBODISEL;;Thermal power plant;543.00;Industrial point source;;;Chaco;;
CT LIBERTADOR GSM - SULLAIR;;Thermal power plant;3331.00;Industrial point source;;;Jujuy;;
CT LINCOLN;;Thermal power plant;5898.00;Industrial point source;Electrical energy;Lincoln;Buenos Aires;-34.85716731;-61.52070383
CT LOBOS BS.AS - SULLAIR;;Thermal power plant;23328.00;Industrial point source;;;Buenos Aires;;
CT LOMA CAMPANA 1 -YPF;;Thermal power plant;93992.00;Industrial point source;;;Neuquén;;
CT LOMA CAMPANA 2 -Y-GEN ELECT;;Thermal power plant;164946.00;Industrial point source;;;Neuquén;;
CT LOMA DE LA LATA II(NEUQEUN);;Thermal power plant;228867.00;Industrial point source;;;Neuquén;;
CT LUJAN II - ARAUCARIA ENERGY;;Thermal power plant;68363.00;Industrial point source;;;Buenos Aires;;
CT MAGDALENA - APR ENERGY;;Thermal power plant;4433.00;Industrial point source;;;Buenos Aires;;
CT MATHEU II - APR ENERGY;;Thermal power plant;1875.00;Industrial point source;;;Buenos Aires;;
CT MIRAMAR I - ENERGYST;;Thermal power plant;23587.00;Industrial point source;;;Buenos Aires;;
CT ORAN - SECCO;;Thermal power plant;3717.00;Industrial point source;;;Salta;;
CT PARQUE INDUSTR.CATAM-SECCO;;Thermal power plant;8843.00;Industrial point source;;;Catamarca;;
CT PASO LA PATRIA-TURBODISEL;;Thermal power plant;1189.00;Industrial point source;;;Corrientes;;
CT PEREZ - SECCO;;Thermal power plant;109776.00;Industrial point source;;;Santa Fe;;
CT PIEDRABUENA MG(L.LATA);;Thermal power plant;173945.00;Industrial point source;;;Buenos Aires;;
CT PILAR - EPEC;;Thermal power plant;1055603.00;Industrial point source;;;Córdoba;;
CT PILAR BS AS- PAMPA ENERGÍA;;Thermal power plant;187528.00;Industrial point source;;;Buenos Aires;;
CT PIRANE - SULLAIR;;Thermal power plant;10675.00;Industrial point source;;;Formosa;;
CT PRESIDENCIA ROCA;;Thermal power plant;1276.00;Industrial point source;;;Chaco;;
CT RAFAELA - SECCO;;Thermal power plant;7300.00;Industrial point source;;;Santa Fe;;
CT REALICO - SECCO;;Thermal power plant;6721.00;Industrial point source;;;La Pampa;;
CT RENOVA - ALBANESI ENERGIA;;Thermal power plant;457321.00;Industrial point source;;;Santa Fe;;
CT RIO TERCERO II - SoENERGY;;Thermal power plant;30138.00;Industrial point source;;;Córdoba;;
CT ROCA SA;;Thermal power plant;502028.00;Industrial point source;;;Río Negro;;
CT RUFINO Sta Fe - ENARSA;;Thermal power plant;8965.00;Industrial point source;;;Santa Fe;;
CT SAENZ PEÑA - APR ENERGY;;Thermal power plant;3654.00;Industrial point source;;;Chaco;;
CT SAENZ PEÑA II- AGGREKO;;Thermal power plant;4626.00;Industrial point source;;;Chaco;;
CT SALTO 2 - SoENERGY;;Thermal power plant;103648.00;Industrial point source;;;Buenos Aires;;
CT SAN MARTIN Chaco;;Thermal power plant;1320.00;Industrial point source;;;Chaco;;
CT SAN PEDRO - CIERRE CC;;Thermal power plant;33804.00;Industrial point source;;;Buenos Aires;;
CT SAN PEDRO - SPI ENERGY SA;;Thermal power plant;46087.00;Industrial point source;;;Buenos Aires;;
CT SAN SALVADOR E.Rios -ENARSA;;Thermal power plant;1815.00;Industrial point source;;;Entre Ríos;;
CT SAN VICENTE BsAs - ENARSA;;Thermal power plant;4595.00;Industrial point source;;;Buenos Aires;;
CT SANTA ROSA -TURBODISEL;;Thermal power plant;1988.00;Industrial point source;;;Corrientes;;
CT TEREVINTOS - SECCO;;Thermal power plant;2652.00;Industrial point source;;;Catamarca;;
CT TINOGASTA - SULLAIR;;Thermal power plant;4169.00;Industrial point source;;;Catamarca;;
CT VENADO TUERTO - SECCO;;Thermal power plant;7617.00;Industrial point source;;;Santa Fe;;
CT VIALE - AGGREKO;;Thermal power plant;4529.00;Industrial point source;;;Entre Ríos;;
CT VILLA ANGELA - AGGREKO;;Thermal power plant;4977.00;Industrial point source;;;Chaco;;
CT VILLA GESELL-CATLANT.;;Thermal power plant;333196.00;Industrial point source;;;Buenos Aires;;
CT VILLA MARIA CIERRE CC-UENSA;;Thermal power plant;630749.00;Industrial point source;;;Córdoba;;
CT VILLA OCAMPO - SECCO;;Thermal power plant;32945.00;Industrial point source;;;Santa Fe;;
CT VUELTA DE OBLIGADO;;Thermal power plant;1829953.00;Industrial point source;;;Santa Fe;;
CT ZAPPALORTO - APR ENERGY;;Thermal power plant;15249.00;Industrial point source;;;Buenos Aires;;
EDECAT GENERACION;;Thermal power plant;397.00;Industrial point source;;;Catamarca;;
EDELAR GENERACION;;Thermal power plant;18733.00;Industrial point source;;;La Rioja;;
EDEN GENERACION;;Thermal power plant;1627.00;Industrial point source;;;Buenos Aires;;
ELECTROPATAGONIA-C.RIV-C.COMB.;;Thermal power plant;15137.00;Industrial point source;;;Chubut;;
EMP.DIS.S.ESTERO GENERACION;;Thermal power plant;4901.00;Industrial point source;;;Santiago del Estero;;
EMSA GENERACION;;Thermal power plant;10472.00;Industrial point source;;;Misiones;;
ENDESA COSTANERA SA;;Thermal power plant;2518331.00;Industrial point source;;;Buenos Aires;;
ENERGIA DEL SUR S.A.;;Thermal power plant;226761.00;Industrial point source;;;Chubut;;
EPEC GENERACION;;Thermal power plant;15814.00;Industrial point source;;;Córdoba;;
GEN.MEDITERRANEA (CONT.PLUS);;Thermal power plant;36744.00;Industrial point source;;;Córdoba;;
GEN.MEDITERRANEA GRUPO 5;;Thermal power plant;27675.00;Industrial point source;;;Córdoba;;
GENELBA - PETROBRAS;;Thermal power plant;1898589.00;Industrial point source;;;Buenos Aires;;
GENELBA - RES.287;;Thermal power plant;1396334.00;Industrial point source;;;Buenos Aires;;
GENERACION FRIAS S.A.;;Thermal power plant;15755.00;Industrial point source;;;Santiago del Estero;;
GENERACION INDEPENDENCIA S.A.;;Thermal power plant;28961.00;Industrial point source;;;Tucumán;;
GENERACION LA BANDA S.A.;;Thermal power plant;2514.00;Industrial point source;;;Santiago del Estero;;
GENERACION MEDITERRANEA;;Thermal power plant;6470.00;Industrial point source;;;Córdoba;;
GENERACION MEDITERRANEA 220;;Thermal power plant;31381.00;Industrial point source;;;Córdoba;;
GENERACION RIOJANA SA;;Thermal power plant;13132.00;Industrial point source;;;La Rioja;;
GENERADORA CORDOBA S.A.;;Thermal power plant;1537.00;Industrial point source;;;Córdoba;;
GENERADORA ELEC.TUCUMAN SA;;Thermal power plant;9198.00;Industrial point source;;;Tucumán;;
HIDROTERMICA SAN JUAN;;Thermal power plant;6068.00;Industrial point source;;;San Juan;;
LA PLATA COGENERACION SA;;Thermal power plant;339665.00;Industrial point source;;;Buenos Aires;;
LEDESMA SAAI;;Thermal power plant;7544.00;Industrial point source;;;Jujuy;;
LUJAN DE CUYO COGENERAC.PUERTO;;Thermal power plant;265976.00;Industrial point source;;;Mendoza;;
MOLINOS AGRO AG.(Ex.Mol Rio P);;Thermal power plant;222.00;Industrial point source;;;Santa Fe;;
MOTOGENERADORES COSTANERA;;Thermal power plant;47985.00;Industrial point source;;;Buenos Aires;;
NIDERA SAFORCADA-Junin;;Thermal power plant;20.00;Industrial point source;;;Buenos Aires;;
PAMPA ENERGIA SA;;Thermal power plant;78724.00;Industrial point source;;;Salta;;
REFINERIA LA PLATA AUTOG;;Thermal power plant;10998.00;Industrial point source;;;Buenos Aires;;
SHELL CAPSA PTA. DOCK SUD;;Thermal power plant;25501.00;Industrial point source;;;Buenos Aires;;
SIDERAR PTA. IND. SAN NICOLAS;;Thermal power plant;31.00;Industrial point source;;;Buenos Aires;;
SINOPEC Arg. - El Huemul;;Thermal power plant;29407.00;Industrial point source;;;Santa Cruz;;
SINOPEC Arg. - Meseta Espinosa;;Thermal power plant;13683.00;Industrial point source;;;Santa Cruz;;
SOLALBAN ENERGIA SA;;Thermal power plant;42405.00;Industrial point source;;;Buenos Aires;;
TERMINAL 6 COGENERACION PUERTO;;Thermal power plant;209988.00;Industrial point source;;;Santa Fe;;
TERMOELE. JOSE SAN MARTIN S.A;;Thermal power plant;2045982.00;Industrial point source;;;Santa Fe;;
