Name;Company;Type of industry;CO2 emissions [t];Type of source;Location (city);Provincia;Location (latitude);Location (longitude);Source CO2 emissions;Primary product;Installed Capacity [t/a];Columna1;Utility of the installed capacity;Process;Year of emission data
C.COSTA ATLANTICA;;Thermal power plant;509899;Industrial point source;;Buenos Aires;-36.30875528;-56.63689546;CAMMESA;;455.88;;;;2021
C.T. AES PARANA;;Thermal power plant;1717893;Industrial point source;;Buenos Aires;-32.97092569;-60.1538909;CAMMESA;;869.51;;;;2021
C.T. AGUA DEL CAJON;;Thermal power plant;1108638;Industrial point source;Neuquén;Neuquén;-38.93531878;-68.35746075;CAMMESA;Electrical energy;184.4;;;;2021
C.T. ALMIRANTE BROWN;Excell Power S.R.L.;Thermal power plant;7094;Industrial point source;Burazco;Buenos Aires;-34.83766034;-58.40568505;CAMMESA;Electrical energy;25;;;;2021
C.T. LOMA DE LA LATA S.A.;C.T. LOMA DE LA LATA S.A.;Thermal power plant;1779653;Industrial point source;Neuquén;Neuquén;-38.51178974;-68.60637825;CAMMESA;Electrical energy;675;;;;2021
C.T. PATAGONICAS SA;CENTRALES TERMICAS PATAGONICAS S.A.;Thermal power plant;27712;Industrial point source;Comodoro Rivadavia;Chubut;-45.81390612;-67.44427712;CAMMESA;Electrical energy;160;;;;2021
C.T. SALTA (TERMOANDES);AES;Thermal power plant;1004183;Industrial point source;Cobos;Salta;-24.74271171;-65.05151496;CAMMESA;Electrical energy;642.7;;;;2021
C.TERMICA ALTO VALLE;;Thermal power plant;198282;Industrial point source;Neuquén;Neuquén;-38.95161594;-68.02174487;CAMMESA;Electrical energy;96;;;;2021
C.TERMICA GUEMES S.A.;;Thermal power plant;139062;Industrial point source;;Salta;-24.75718674;-65.34767737;CAMMESA;;261;;;;2021
C.TERMICA SAN NICOLAS;AES;Thermal power plant;2158549;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.35809074;-60.17476179;CAMMESA;Electrical energy;675;;;;2021
C.TERMICA SORRENTO;;Thermal power plant;20821;Industrial point source;;Santa Fe;-32.90624373;-60.68192663;CAMMESA;;217;;;;2021
CAPEX S.A. AUTOGENERADOR;;Thermal power plant;1075683;Industrial point source;;Neuquén;-38.93576108;-68.35797573;CAMMESA;;477.1;;;;2021
CENTRAL DIQUE S.A.;CENTRAL DIQUE S.A.;Thermal power plant;478;Industrial point source;Ensenada;Buenos Aires;-34.88987358;-57.93335436;CAMMESA;Electrical energy;55;;;;2021
CENTRAL DOCK SUD;Central Dock Sud;Thermal power plant;2101890;Industrial point source;Dock Sud;Buenos Aires;-34.65327861;-58.34352059;CAMMESA;Electrical energy;869.5;;;;2021
CENTRAL PIEDRA BUENA S.A.;Pampa Energía;Thermal power plant;243763;Industrial point source;Ingeniero White;Buenos Aires;-38.78482523;-62.25607271;CAMMESA;Electrical energy;;;;;2021
CENTRAL PUERTO SA;Central Puerto S.A.;Thermal power plant;3481800;Industrial point source;Luján de Cuyo;Mendoza;-33.05433167;-68.98071723;CAMMESA;Electrical energy;1777;;;;2021
CENTRAL TÉRMICA LOMITA AUTOG.;;Thermal power plant;59300;Industrial point source;;Neuquén;;;CAMMESA;;;;;;2021
CENTRAL TERMICA PIQUIRENDA;Pampa Energía;Thermal power plant;25963;Industrial point source;Piquirenda;Salta;-22.35004604;-63.76700533;CAMMESA;Electrical energy;30.4;;;;2021
COOP. MNO. MORENO BS. AS.GENER;;Thermal power plant;668;Industrial point source;;Buenos Aires;;;CAMMESA;;7;;;;2021
CT 9 de JULIO C Cost ATLANTICA;Centrales de la Costa Atlántica S.A.;Thermal power plant;221258;Industrial point source;Mar del Plata;Buenos Aires;-38.04949391;-57.54553583;CAMMESA;Electrical energy;94.74;;;;2021
CT ACONCAGUA ENERGÍA AUTOGENER;;Thermal power plant;17;Industrial point source;;Mendoza;;;CAMMESA;;;;;;2021
CT ALEM - AGGREKO;;Thermal power plant;35577;Industrial point source;;Misiones;-27.55844357;-55.28616792;CAMMESA;;15;;;;2021
CT ANCHORIS - METHAX;EMESA;Thermal power plant;50825;Industrial point source;Tupungato;Mendoza;-33.3133564;-68.89151146;CAMMESA;Electrical energy;40;;;;2021
CT AÑATUYA - SULLAIR;;Thermal power plant;11557;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;CAMMESA;Electrical energy;19.2;;;;2021
CT AÑATUYA II - SULLAIR;;Thermal power plant;4840;Industrial point source;Añatuya;Santiago del Estero;-28.44584131;-62.85560319;CAMMESA;Electrical energy;11.5;;;;2021
CT ARISTOBU.DEL VALLE-SOENERGY;;Thermal power plant;24495;Industrial point source;Aristóbulo del Valle;Misiones;-27.09123769;-54.86344241;CAMMESA;Electrical energy;15;;;;2021
CT ARRECIFES-AGGREKO;;Thermal power plant;8081;Industrial point source;;Buenos Aires;;;CAMMESA;;20;;;;2021
CT BANDERA SgoEstero - ENARSA;;Thermal power plant;4539;Industrial point source;;Santiago del Estero;-27.79292098;-62.15515275;CAMMESA;;32.5;;;;2021
CT BARILOCHE;;Thermal power plant;1392;Industrial point source;;Río Negro;-41.0854318;-71.35591366;CAMMESA;;20;;;;2021
CT BARKER CIERRE CC;;Thermal power plant;636102;Industrial point source;Benito Juárez;Buenos Aires;-37.54858826;-59.4506657;CAMMESA;Electrical energy;105.85;;;;2021
CT BARRAGAN - ENARSA;ENARSA;Thermal power plant;319657;Industrial point source;Ensenada;Buenos Aires;-34.85965751;-57.95577403;CAMMESA;Electrical energy;567;;;;2021
CT BARRANQUERAS Chaco;;Thermal power plant;3373;Industrial point source;;Chaco;-27.48591444;-58.93260519;CAMMESA;;21.7;;;;2021
CT BELL VILLE - SULLAIR;SULLAIR ARGENTINA S.A.;Thermal power plant;6459;Industrial point source;Bell Ville;Córdoba;-32.61039562;-62.68583225;CAMMESA;Electrical energy;15.6;;;;2021
CT BRACHO CIERRE CC- Y-GEN S.A;;Thermal power plant;1242878;Industrial point source;;Tucumán;-26.99529044;-65.17017867;CAMMESA;;199;;;;2021
CT BRAGADO - EMGASUD;;Thermal power plant;7559;Industrial point source;;Buenos Aires;-34.81288221;-60.40005;CAMMESA;;;;;;2021
CT BRAGADO 2 - GENNEIA;Genneia;Thermal power plant;79138;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;CAMMESA;Electrical energy;58.5;;;;2021
CT BRAGADO 3 - GENNEIA;Genneia;Thermal power plant;92453;Industrial point source;Bragado;Buenos Aires;-35.13651396;-60.43241426;CAMMESA;Electrical energy;61.2;;;;2021
CT BRIGADIER LOPEZ;Central Puerto S.A.;Thermal power plant;64572;Industrial point source;Santa Fe;Santa Fe;-31.71284154;-60.77930021;CAMMESA;Electrical energy;280;;;;2021
CT CAIMANCITO -SULLAIR;;Thermal power plant;62571;Industrial point source;Libertador Gral San Martín;Jujuy;-23.73226891;-64.61399317;CAMMESA;Electrical energy;91;;;;2021
CT CAÑADA DE GOMEZ - SECCO;Secco;Thermal power plant;105744;Industrial point source;Cañada de Gómez;Santa Fe;-32.78187222;-61.41843352;CAMMESA;Electrical energy;67.232;;;;2021
CT CAPITAN SARMIENTO - SECCO;Secco;Thermal power plant;10205;Industrial point source;;Buenos Aires;-34.16216899;-59.79574076;CAMMESA;;5;;;;2021
CT CASTELLI - AGGREKO;;Thermal power plant;9440;Industrial point source;;Chaco;-25.94900872;-60.61986966;CAMMESA;;15;;;;2021
CT CATAMARCA - SECCO;;Thermal power plant;10013;Industrial point source;;Catamarca;-28.4208082;-65.78776983;CAMMESA;;19.2;;;;2021
CT CERES - SECCO;;Thermal power plant;3924;Industrial point source;;Santa Fe;-29.87387756;-61.92317816;CAMMESA;;18;;;;2021
CT CHARATA - SULLAIR;;Thermal power plant;7334;Industrial point source;;Chaco;-27.20868003;-61.18225793;CAMMESA;;19.8;;;;2021
CT CHILECITO - SECCO;Secco;Thermal power plant;4810;Industrial point source;Chilecito;La Rioja;-29.15733701;-67.50746666;CAMMESA;Electrical energy;10;;;;2021
CT CIPOLLETI - AGGREKO;;Thermal power plant;501;Industrial point source;;Río Negro;-38.86486771;-68.03632495;CAMMESA;;5;;;;2021
CT COLON BS.AS - SULLAIR;;Thermal power plant;5222;Industrial point source;Colón;Buenos Aires;-33.73201213;-61.09709894;CAMMESA;Electrical energy;15.3;;;;2021
CT CORRIENTES - AGGREKO;;Thermal power plant;7204;Industrial point source;;Corrientes;-27.4710135;-58.80297303;CAMMESA;;20;;;;2021
CT EZEIZA ETAPA1 G MEDITERRANE;;Thermal power plant;56618;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;CAMMESA;Electrical energy;102.1;;;;2021
CT EZEIZA ETAPA2 G MEDITERRANE;;Thermal power plant;32456;Industrial point source;Carlos Spegazzini;Buenos Aires;-34.90274362;-58.61692333;CAMMESA;Electrical energy;50;;;;2021
CT FORMOSA - APR ENERGY;;Thermal power plant;5006;Industrial point source;;Formosa;-26.17579564;-58.20978419;CAMMESA;;30;;;;2021
CT GENERAL ROJO CIERRE CC;;Thermal power plant;619957;Industrial point source;San Nicolás de Los Arroyos;Buenos Aires;-33.45541478;-60.28090222;CAMMESA;Electrical energy;107.65;;;;2021
CT GOYA - SECCO;;Thermal power plant;4754;Industrial point source;Goya;Corrientes;-29.15821641;-59.27345715;CAMMESA;Electrical energy;13;;;;2021
CT GRAL. VILLEGAS - AGGREKO;;Thermal power plant;14209;Industrial point source;;Buenos Aires;-35.0345172;-62.99797308;CAMMESA;;23.5;;;;2021
CT INDEPEND. ETAPA1 G MEDITERR;Grupo Albanesi;Thermal power plant;10088;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;CAMMESA;Electrical energy;49.6;;;;2021
CT INDEPEND. ETAPA2 G MEDITERR;Grupo Albanesi;Thermal power plant;9463;Industrial point source;San Miguel de Tucumán;Tucumán;-26.866966;-65.22182861;CAMMESA;Electrical energy;49;;;;2021
CT ING JUAREZ - SECCO;;Thermal power plant;2692;Industrial point source;Ingeniero Juárez;Formosa;-23.90901687;-61.83150245;CAMMESA;Electrical energy;4;;;;2021
CT INTA CATAMARCA - SECCO;;Thermal power plant;3559;Industrial point source;;Catamarca;;;CAMMESA;;7;;;;2021
CT ISLA VERDE - AGGREKO;;Thermal power plant;7670;Industrial point source;;Córdoba;-33.24178127;-62.39381422;CAMMESA;;24.5;;;;2021
CT ITATI - TURBODISEL;;Thermal power plant;1498;Industrial point source;;Corrientes;-27.31887856;-58.23844011;CAMMESA;;7.2;;;;2021
CT JUNIN;;Thermal power plant;14479;Industrial point source;;Buenos Aires;-34.55914506;-60.92796994;CAMMESA;;22;;;;2021
CT LA PAZ Entre Rios - ENARSA;;Thermal power plant;2674;Industrial point source;;Entre Ríos;-30.74961413;-59.60149196;CAMMESA;;10.8;;;;2021
CT LA PLATA - SULLAIR;;Thermal power plant;14048;Industrial point source;San Carlos;Buenos Aires;-34.9338664;-58.01640058;CAMMESA;Electrical energy;40.4;;;;2021
CT LA RIOJA - SECCO;;Thermal power plant;7688;Industrial point source;;La Rioja;-29.35906756;-66.83395555;CAMMESA;;19.2;;;;2021
CT LA RIOJA SUR- SECCO;;Thermal power plant;3506;Industrial point source;;La Rioja;-29.42128793;-66.82983567;CAMMESA;;10;;;;2021
CT LAGUNA BLANCA - SECCO;;Thermal power plant;4457;Industrial point source;Laguna Blanca;Formosa;-25.12695055;-58.25915073;CAMMESA;Electrical energy;7;;;;2021
