latitude,longitude,altitude,geometry,Name,Company,Industry,CO2_emissions_t,Source_CO2_emissions,City,Province,Primary product,Installed Capacity [t/a],Columna1,Utility of the installed capacity,Process,year_emission,Source,CO2 factor [tCO2/tproduct]
-32.61039562,-62.68583225,,Point,CT BELL VILLE - SULLAIR,SULLAIR ARGENTINA S.A.,Fossil Thermal Power Plant,6459,Industrial point source,Bell Ville,Córdoba,Electrical energy,15.6,,,,2021,CAMMESA,2.697170552
-26.99529044,-65.17017867,,Point,CT BRACHO CIERRE CC- Y-GEN S.A,,Fossil Thermal Power Plant,1242878,Industrial point source,"El  Bracho, Cruz Alta",Tucumán,,199,,,,2021,CAMMESA,1.94819592
-34.81288221,-60.40005,,Point,CT BRAGADO - EMGASUD,,Fossil Thermal Power Plant,7559,Industrial point source,Bragado,Buenos Aires,,,,,,2021,CAMMESA,2.135439578
-35.13651396,-60.43241426,,Point,CT BRAGADO 2 - GENNEIA,Genneia,Fossil Thermal Power Plant,79138,Industrial point source,Bragado,Buenos Aires,Electrical energy,58.5,,,,2021,CAMMESA,2.251834284
-35.13651396,-60.43241426,,Point,CT BRAGADO 3 - GENNEIA,Genneia,Fossil Thermal Power Plant,92453,Industrial point source,Bragado,Buenos Aires,Electrical energy,61.2,,,,2021,CAMMESA,2.220550332
-31.71284154,-60.77930021,,Point,CT BRIGADIER LOPEZ,Central Puerto S.A.,Fossil Thermal Power Plant,64572,Industrial point source,Santa Fe,Santa Fe,Electrical energy,280,,,,2021,CAMMESA,2.322683236
-23.73226891,-64.61399317,,Point,CT CAIMANCITO -SULLAIR,,Fossil Thermal Power Plant,62571,Industrial point source,Libertador Gral San Martín,Jujuy,Electrical energy,91,,,,2021,CAMMESA,1.94819592
-32.78187222,-61.41843352,,Point,CT CAÑADA DE GOMEZ - SECCO,Secco,Fossil Thermal Power Plant,105744,Industrial point source,Cañada de Gómez,Santa Fe,Electrical energy,67.232,,,,2021,CAMMESA,2.671149063
-34.16216899,-59.79574076,,Point,CT CAPITAN SARMIENTO - SECCO,Secco,Fossil Thermal Power Plant,10205,Industrial point source,CAPITAN SARMIENTO,Buenos Aires,,5,,,,2021,CAMMESA,2.697170552
-25.94900872,-60.61986966,,Point,CT CASTELLI - AGGREKO,,Fossil Thermal Power Plant,9440,Industrial point source,GENERAL GUEMES,Chaco,,15,,,,2021,CAMMESA,2.697170552
-28.4208082,-65.78776983,,Point,CT CATAMARCA - SECCO,,Fossil Thermal Power Plant,10013,Industrial point source,San Fernando del Valle de Catamarca,Catamarca,,19.2,,,,2021,CAMMESA,2.697170552
-29.87387756,-61.92317816,,Point,CT CERES - SECCO,,Fossil Thermal Power Plant,3924,Industrial point source,SAN CRISTOBAL,Santa Fe,,18,,,,2021,CAMMESA,2.697170552
-27.20868003,-61.18225793,,Point,CT CHARATA - SULLAIR,,Fossil Thermal Power Plant,7334,Industrial point source,CHACABUCO,Chaco,,19.8,,,,2021,CAMMESA,2.697170552
-29.15733701,-67.50746666,,Point,CT CHILECITO - SECCO,Secco,Fossil Thermal Power Plant,4810,Industrial point source,Chilecito,La Rioja,Electrical energy,10,,,,2021,CAMMESA,2.697170552
-38.86486771,-68.03632495,,Point,CT CIPOLLETI - AGGREKO,,Fossil Thermal Power Plant,501,Industrial point source,GENERAL ROCA,Río Negro,,5,,,,2021,CAMMESA,2.697170552
-33.73201213,-61.09709894,,Point,CT COLON BS.AS - SULLAIR,,Fossil Thermal Power Plant,5222,Industrial point source,Colón,Buenos Aires,Electrical energy,15.3,,,,2021,CAMMESA,2.697170552
-27.4710135,-58.80297303,,Point,CT CORRIENTES - AGGREKO,,Fossil Thermal Power Plant,7204,Industrial point source,Corrientes,Corrientes,,20,,,,2021,CAMMESA,2.697170552
-34.90274362,-58.61692333,,Point,CT EZEIZA ETAPA1 G MEDITERRANE,,Fossil Thermal Power Plant,56618,Industrial point source,Carlos Spegazzini,Buenos Aires,Electrical energy,102.1,,,,2021,CAMMESA,2.197854131
-34.90274362,-58.61692333,,Point,CT EZEIZA ETAPA2 G MEDITERRANE,,Fossil Thermal Power Plant,32456,Industrial point source,Carlos Spegazzini,Buenos Aires,Electrical energy,50,,,,2021,CAMMESA,2.197854131
-26.17579564,-58.20978419,,Point,CT FORMOSA - APR ENERGY,,Fossil Thermal Power Plant,5006,Industrial point source,FORMOSA,Formosa,,30,,,,2021,CAMMESA,2.697170552
-33.45541478,-60.28090222,,Point,CT GENERAL ROJO CIERRE CC,,Fossil Thermal Power Plant,619957,Industrial point source,San Nicolás de Los Arroyos,Buenos Aires,Electrical energy,107.65,,,,2021,CAMMESA,2.314715421
-29.15821641,-59.27345715,,Point,CT GOYA - SECCO,,Fossil Thermal Power Plant,4754,Industrial point source,Goya,Corrientes,Electrical energy,13,,,,2021,CAMMESA,2.697170552
-35.0345172,-62.99797308,,Point,CT GRAL. VILLEGAS - AGGREKO,,Fossil Thermal Power Plant,14209,Industrial point source,General Villegas,Buenos Aires,,23.5,,,,2021,CAMMESA,2.697170552
-26.866966,-65.22182861,,Point,CT INDEPEND. ETAPA1 G MEDITERR,Grupo Albanesi,Fossil Thermal Power Plant,10088,Industrial point source,San Miguel de Tucumán,Tucumán,Electrical energy,49.6,,,,2021,CAMMESA,2.239463833
-26.866966,-65.22182861,,Point,CT INDEPEND. ETAPA2 G MEDITERR,Grupo Albanesi,Fossil Thermal Power Plant,9463,Industrial point source,San Miguel de Tucumán,Tucumán,Electrical energy,49,,,,2021,CAMMESA,2.239463833
-23.90901687,-61.83150245,,Point,CT ING JUAREZ - SECCO,,Fossil Thermal Power Plant,2692,Industrial point source,Ingeniero Juárez,Formosa,Electrical energy,4,,,,2021,CAMMESA,2.697170552
-33.24178127,-62.39381422,,Point,CT ISLA VERDE - AGGREKO,,Fossil Thermal Power Plant,7670,Industrial point source,MARCOS JUAREZ,Córdoba,,24.5,,,,2021,CAMMESA,2.697170552
-27.31887856,-58.23844011,,Point,CT ITATI - TURBODISEL,,Fossil Thermal Power Plant,1498,Industrial point source,Itati,Corrientes,,7.2,,,,2021,CAMMESA,2.697170552
-34.55914506,-60.92796994,,Point,CT JUNIN,,Fossil Thermal Power Plant,14479,Industrial point source,Junin,Buenos Aires,,22,,,,2021,CAMMESA,2.697170552
-30.74961413,-59.60149196,,Point,CT LA PAZ Entre Rios - ENARSA,,Fossil Thermal Power Plant,2674,Industrial point source, La Paz,Entre Ríos,,10.8,,,,2021,CAMMESA,2.697170552
-34.9338664,-58.01640058,,Point,CT LA PLATA - SULLAIR,,Fossil Thermal Power Plant,14048,Industrial point source,San Carlos,Buenos Aires,Electrical energy,40.4,,,,2021,CAMMESA,2.697170552
-29.35906756,-66.83395555,,Point,CT LA RIOJA - SECCO,,Fossil Thermal Power Plant,7688,Industrial point source,La Rioja,La Rioja,,19.2,,,,2021,CAMMESA,2.697170552
-29.42128793,-66.82983567,,Point,CT LA RIOJA SUR- SECCO,,Fossil Thermal Power Plant,3506,Industrial point source,La Rioja,La Rioja,,10,,,,2021,CAMMESA,2.697170552
-25.12695055,-58.25915073,,Point,CT LAGUNA BLANCA - SECCO,,Fossil Thermal Power Plant,4457,Industrial point source,Laguna Blanca,Formosa,Electrical energy,7,,,,2021,CAMMESA,2.697170552
